C_i/C_m(wt/M),C_ci/C_m(wt/M),C_t/C_m(wt/M),C_m (M),T (°C),AMPS feed ratio (mol%),C_c (mg/L),AMPS ratio (mol%),predictedAMPS ratio (mol%)_LINEAR_REGRESSION,absolute_error_LINEAR_REGRESSION,relative_error(%)_LINEAR_REGRESSION,predictedAMPS ratio (mol%)_XGB,absolute_error_XGB,relative_error(%)_XGB,predictedAMPS ratio (mol%)_GBT,absolute_error_GBT,relative_error(%)_GBT,predictedAMPS ratio (mol%)_RANDOM_FOREST,absolute_error_RANDOM_FOREST,relative_error(%)_RANDOM_FOREST,predictedAMPS ratio (mol%)_DECISION_TREE,absolute_error_DECISION_TREE,relative_error(%)_DECISION_TREE,predictedAMPS ratio (mol%)_SVR,absolute_error_SVR,relative_error(%)_SVR
0.000914634146341463,0.000914634146341463,0.000914634146341463,1.64,10,10,1.0,7.9,8.32,-0.42,-5.32,8.15,-0.25,-3.16,8.34,-0.44,-5.57,8.4,-0.5,-6.33,7.9,0.0,0.0,29.22,-21.32,-269.87
0.00914634146341463,0.00914634146341463,0.00914634146341463,1.64,15,10,1.5,10.0,8.3,1.7,17.0,10.0,0.0,0.0,9.94,0.06,0.6,9.86,0.14,1.4,10.0,0.0,0.0,28.07,-18.07,-180.7
0.0914634146341463,0.0914634146341463,0.0914634146341463,1.64,20,10,2.0,10.0,6.79,3.21,32.1,10.09,-0.09,-0.9,10.26,-0.26,-2.6,9.94,0.06,0.6,10.0,0.0,0.0,30.09,-20.09,-200.9
0.0,0.0091324200913242,9.1324200913242e-05,2.19,10,10,2.0,10.0,9.2,0.8,8.0,10.02,-0.02,-0.2,10.0,0.0,0.0,9.58,0.42,4.2,10.0,0.0,0.0,27.56,-17.56,-175.6
9.1324200913242e-05,0.091324200913242,0.00091324200913242,2.19,15,10,0.0,9.4,9.06,0.34,3.62,9.52,-0.12,-1.28,9.64,-0.24,-2.55,9.58,-0.18,-1.91,9.4,0.0,0.0,25.81,-16.41,-174.57
0.00091324200913242,0.0,0.0091324200913242,2.19,20,10,0.5,6.4,8.33,-1.93,-30.16,6.89,-0.49,-7.66,7.63,-1.23,-19.22,7.43,-1.03,-16.09,6.4,0.0,0.0,26.5,-20.1,-314.06
0.0091324200913242,9.1324200913242e-05,0.091324200913242,2.19,0,10,1.0,8.0,5.46,2.54,31.75,8.01,-0.01,-0.12,8.35,-0.35,-4.38,8.57,-0.57,-7.12,8.0,0.0,0.0,29.18,-21.18,-264.75
0.091324200913242,0.00091324200913242,0.0,2.19,5,10,1.5,10.0,10.14,-0.14,-1.4,9.91,0.09,0.9,9.63,0.37,3.7,10.0,0.0,0.0,10.0,0.0,0.0,29.82,-19.82,-198.2
9.15750915750916e-05,0.000915750915750916,0.00915750915750916,2.73,0,10,2.0,9.0,9.32,-0.32,-3.56,9.2,-0.2,-2.22,9.39,-0.39,-4.33,9.15,-0.15,-1.67,9.0,0.0,0.0,28.62,-19.62,-218.0
0.0915750915750916,0.0,9.15750915750916e-05,2.73,15,10,1.0,10.0,10.46,-0.46,-4.6,9.66,0.34,3.4,9.24,0.76,7.6,9.23,0.77,7.7,9.0,1.0,10.0,26.28,-16.28,-162.8
