,redox,azo,ybc,C,T,AMPS,fe,R-AMPS
84,0.00138888888888889,0.0138888888888889,0.138888888888889,1.8,0,50,2.0,47.0
2,0.914634146341463,0.914634146341463,0.914634146341463,1.64,20,10,2.0,10.0
94,0.138888888888889,0.0,0.0138888888888889,2.52,5,50,2.0,50.0
45,0.112107623318386,1.12107623318386,0.0,2.23,10,30,0.5,30.0
42,0.111731843575419,0.00111731843575419,1.11731843575419,1.79,0,30,1.0,28.0
69,0.125,0.0125,0.00125,2.4,20,40,0.0,40.0
153,0.0138888888888889,0.0555555555555556,0.0,1.8,5,50,0.5,50.0
26,0.0980392156862745,0.980392156862745,0.0,2.55,10,20,0.5,20.0
141,0.0833333333333333,0.0347222222222222,0.111111111111111,1.8,5,50,2.0,50.0
117,0.001556,0.003112,0.000778,3.2133676092545,10,5,0.2,5.0
93,0.0138888888888889,1.38888888888889,0.00138888888888889,2.52,0,50,1.5,50.0
133,0.00345,0.0138,0.0,1.44927536231884,5,100,0.2,100.0
36,0.0111940298507463,0.0111940298507463,0.0111940298507463,1.34,10,30,1.0,28.0
82,0.138888888888889,0.00138888888888889,1.38888888888889,1.44,0,50,1.0,44.0
22,0.00980392156862745,0.0,0.0980392156862745,2.04,20,20,0.5,17.0
126,0.0,0.1526,0.0,1.96592398427261,15,60,0.0,60.0
67,0.0,1.25,0.125,2.4,5,40,1.0,36.0
97,0.0914634146341463,0.00914634146341463,0.00914634146341463,1.64,10,10,1.0,9.0
11,0.0914634146341463,0.00914634146341463,0.000914634146341463,3.28,20,10,0.0,8.7
65,0.125,1.25,0.0,2.0,10,40,0.5,40.0
86,1.38888888888889,0.0,0.00138888888888889,1.8,15,50,1.0,50.0
6,0.091324200913242,0.00091324200913242,0.91324200913242,2.19,0,10,1.0,8.0
27,0.980392156862745,0.0,0.000980392156862745,2.55,15,20,1.0,20.0
76,0.0138888888888889,0.0138888888888889,0.0138888888888889,1.08,10,50,1.0,37.5
142,0.0833333333333333,0.0347222222222222,0.0,1.8,5,50,1.0,50.0
38,1.11940298507463,1.11940298507463,1.11940298507463,1.34,20,30,2.0,29.0
41,0.0111731843575419,0.0,0.111731843575419,1.79,20,30,0.5,30.0
4,0.00091324200913242,0.91324200913242,0.0091324200913242,2.19,15,10,0.0,9.4
138,0.0555555555555556,0.0416666666666667,0.0,1.8,5,50,5.0,50.0
32,0.0,0.00980392156862745,0.980392156862745,3.57,15,20,0.5,20.0
144,0.0555555555555556,0.0416666666666667,0.0,1.8,5,50,3.0,50.0
109,0.456919060052219,0.0,0.00913838120104439,3.83,5,10,2.0,10.0
68,0.0125,0.00125,0.0,2.4,15,40,2.0,40.0
10,0.0,0.914634146341463,0.0914634146341463,3.28,5,10,1.0,10.0
96,0.00914634146341463,0.000914634146341463,0.000914634146341463,1.64,5,10,0.5,8.0
111,0.0630252100840336,0.0262605042016807,0.0,2.38,5,25,2.0,25.0
0,0.00914634146341463,0.00914634146341463,0.00914634146341463,1.64,10,10,1.0,7.9
122,0.0119866666666667,0.0,0.0,1.66852057842047,15,80,0.2,80.0
123,0.00277,0.00554,0.0,1.80505415162455,15,70,0.2,70.0
64,0.00125,0.0125,0.125,2.0,0,40,2.0,40.0
44,0.00112107623318386,0.0112107623318386,0.112107623318386,2.23,0,30,2.0,30.0
146,0.0277777777777778,0.0416666666666667,0.111111111111111,1.8,5,50,5.0,50.0
28,0.0,0.980392156862745,0.0980392156862745,3.06,5,20,1.0,20.0
40,0.00111731843575419,1.11731843575419,0.0111731843575419,1.79,15,30,0.0,28.0
114,0.0021,0.0042,0.0042,2.38095238095238,15,25,0.2,25.0
25,0.000980392156862745,0.00980392156862745,0.0980392156862745,2.55,0,20,2.0,19.0
23,0.0980392156862745,0.000980392156862745,0.980392156862745,2.04,0,20,1.0,15.0
119,0.00310932475884244,0.00621864951768489,0.0,1.60806618407446,15,90,0.3,90.0
81,0.0138888888888889,0.0,0.138888888888889,1.44,20,50,0.5,44.0
79,0.0,0.138888888888889,0.00138888888888889,1.44,10,50,2.0,44.0
39,0.0,0.111731843575419,0.00111731843575419,1.79,10,30,2.0,30.0
90,1.38888888888889,0.138888888888889,0.0138888888888889,2.16,0,50,0.5,50.0
108,0.009138,0.0913838120104439,0.0,3.83,20,10,1.0,10.0
159,0.075,0.03125,0.25,2.0,5,40,1.0,40.0
137,0.0138888888888889,0.0972222222222222,0.0,1.8,5,50,5.0,50.0
47,0.0,1.11940298507463,0.111940298507463,2.68,5,30,1.0,30.0
124,0.0,0.1662,0.0,1.80505415162455,15,70,0.0,70.0
61,0.0125,0.0,0.125,1.6,20,40,0.5,40.0
73,0.0125,1.25,0.00125,2.8,0,40,1.5,34.0
33,0.00980392156862745,0.980392156862745,0.000980392156862745,3.57,0,20,1.5,20.0
112,0.0172413793103448,0.0689655172413793,0.0,1.45,5,75,2.0,75.0
120,0.0124372990353698,0.0124372990353698,0.0,1.60806618407446,15,90,0.2,90.0
128,0.0,0.071,0.00355,2.8169014084507,10,0,0.2,0.0
62,0.125,0.00125,1.25,1.6,0,40,1.0,35.0
162,0.075,0.03125,0.0,2.0,5,40,6.0,40.0
100,0.0091324200913242,0.91324200913242,0.0091324200913242,2.19,15,10,0.0,10.0
104,0.457875457875458,0.915750915750916,0.0,2.73,10,10,0.5,10.0
53,0.0111821086261981,1.11821086261981,0.00111821086261981,3.13,0,30,1.5,30.0
5,0.0091324200913242,0.0,0.091324200913242,2.19,20,10,0.5,6.4
118,0.00778,0.006224,0.003112,3.2133676092545,10,5,0.2,5.0
127,0.0071,0.0142,0.00355,2.8169014084507,10,0,0.2,0.0
151,0.0138888888888889,0.0833333333333333,0.0416666666666667,1.8,5,50,2.0,50.0
49,0.111940298507463,0.0111940298507463,0.00111940298507463,2.68,20,30,0.0,30.0
35,0.980392156862745,0.000980392156862745,0.0980392156862745,3.57,10,20,0.0,20.0
80,0.00138888888888889,1.38888888888889,0.0138888888888889,1.44,15,50,0.0,50.0
77,0.138888888888889,0.138888888888889,0.138888888888889,1.08,15,50,1.5,41.0
34,0.0980392156862745,0.0,0.00980392156862745,3.57,5,20,2.0,20.0
46,1.12107623318386,0.0,0.00112107623318386,2.23,15,30,1.0,30.0
