,redox,azo,ybc,C,T,AMPS,fe,conversion（%）
183,0.0833333333333333,0.05,1.8,50.0,5,2.0,0.0,95.6
38,0.0980392156862745,0.980392156862745,0.0,2.55,10,20.0,0.5,99.0
24,0.913838120104439,0.000913838120104439,0.0913838120104439,3.83,10,10.0,0.0,98.0
142,0.009138,0.0913838120104439,0.0,3.83,20,10.0,1.0,94.0
141,0.000913838120104439,0.00913838120104439,0.913838120104439,3.83,15,10.0,0.5,92.0
29,0.980392156862745,0.980392156862745,0.980392156862745,1.53,20,20.0,2.0,96.5
19,0.914634146341463,0.0914634146341463,0.00914634146341463,3.28,0,10.0,0.5,97.0
169,0.00206896551724138,0.206896551724138,0.0,1.45,5,100.0,0.2,98.0
127,0.0914634146341463,0.00914634146341463,0.00914634146341463,1.64,10,10.0,1.0,80.0
118,0.138888888888889,0.0138888888888889,0.00138888888888889,2.16,20,50.0,0.0,92.6
56,0.00111731843575419,1.11731843575419,0.0111731843575419,1.79,15,30.0,0.0,98.0
5,0.0,0.091324200913242,0.00091324200913242,2.19,10,10.0,2.0,71.5
122,0.0138888888888889,1.38888888888889,0.00138888888888889,2.52,0,50.0,1.5,96.2
113,0.138888888888889,1.38888888888889,0.0,1.8,10,50.0,0.5,98.3
93,0.125,0.0125,0.00125,2.4,20,40.0,0.0,93.0
139,0.0914634146341463,0.000914634146341463,0.0,3.28,15,10.0,2.0,0.0
95,0.0,0.0125,1.25,2.8,15,40.0,0.5,10.0
171,0.0833333333333333,0.0347222222222222,1.8,50.0,5,5.0,0.277777777777778,95.2
196,0.075,0.03125,2.0,40.0,5,5.0,0.0,95.5
168,0.00345,0.0138,0.0,1.44927536231884,5,100.0,0.2,98.0
140,0.457317073170732,0.00914634146341463,0.000914634146341463,3.28,20,10.0,0.0,96.0
31,0.000980392156862745,0.980392156862745,0.00980392156862745,2.04,15,20.0,0.0,99.4
12,0.00915750915750916,0.0915750915750916,0.915750915750916,2.73,5,10.0,0.0,0.0
35,0.0,0.000980392156862745,0.00980392156862745,2.55,20,20.0,1.5,0.0
115,0.0,1.38888888888889,0.138888888888889,2.16,5,50.0,1.0,98.0
42,0.00980392156862745,0.000980392156862745,0.0,3.06,15,20.0,2.0,96.0
73,0.111821086261981,0.0,0.0111821086261981,3.13,5,30.0,2.0,96.0
136,0.457875457875458,0.915750915750916,0.0,2.73,10,10.0,0.5,97.0
135,0.0915750915750916,0.0915750915750916,0.915750915750916,2.73,5,10.0,0.0,96.0
51,0.00111940298507463,0.00111940298507463,0.00111940298507463,1.34,5,30.0,0.5,0.0
104,1.38888888888889,1.38888888888889,1.38888888888889,1.08,20,50.0,2.0,100.0
161,0.0,0.1526,0.0,1.96592398427261,15,60.0,0.0,94.3
41,0.000980392156862745,0.0,0.980392156862745,3.06,10,20.0,1.5,0.0
114,1.38888888888889,0.0,0.00138888888888889,1.8,15,50.0,1.0,98.1
109,1.38888888888889,0.0138888888888889,0.0,1.44,5,50.0,1.5,100.0
26,0.000980392156862745,0.000980392156862745,0.000980392156862745,1.53,5,20.0,0.5,0.0
132,0.45662100456621,0.0091324200913242,0.91324200913242,2.19,0,10.0,1.0,95.0
97,0.0125,1.25,0.00125,2.8,0,40.0,1.5,97.0
165,0.028735632183908,0.0,0.0,1.74,5,75.0,0.2,97.8
2,0.00914634146341463,0.00914634146341463,0.00914634146341463,1.64,10,10.0,1.0,71.0
77,0.0125,0.0125,0.0125,1.2,10,40.0,1.0,70.6
46,0.000980392156862745,0.0980392156862745,0.0,3.57,20,20.0,1.0,99.0
112,0.0138888888888889,0.138888888888889,1.38888888888889,1.8,5,50.0,0.0,0.0
185,0.0555555555555556,0.0416666666666667,1.8,50.0,5,2.0,0.0,96.3
138,0.00914634146341463,0.0,0.914634146341463,3.28,10,10.0,1.5,79.0
36,0.000980392156862745,0.00980392156862745,0.0980392156862745,2.55,0,20.0,2.0,92.0
